시간	No.	카테고리	문제 전문	정답 키워드	해설 및 암기 팁
1:38:07	305	전기설비	석유류를 저장하는 장소의 공사 방법 중 틀린 것은? (합성 수지관 공사, 금속관 공사, 케이블 공사)	애자 사용 공사 (← 부적합)	석유류 등 가연성 물질 저장 장소에는 합금캐 (합성 수지관, 금속관, 케이블) 공사만 가능하며, 애자 사용 공사는 부적합하다.
1:38:31	306	전기설비	지중 전설로에 사용되는 케이블 중 고압용 케이블은?	콤바인 덕트 CD 케이블	지중 전설로의 고압용 케이블은 **콤바인 덕트 케이블(CD 케이블)**이다.
1:38:38	307	전기설비	금속 몰드 배선 시공 시 사용 전압은 몇 V 미만이어야 하는가?	400V (미만)	금속 몰드 배선 공사의 사용 전압은 400V 미만으로 제한된다.
1:38:44	308	전기설비	교통 신호등 제어 장치로부터 신호등의 전구까지의 전로에 전압은 몇 V 이하인가?	300V (이하)	교통 신호등 제어 장치 관련 전압은 300V 이하이다.
1:38:54	309	전기설비	무대, 오케스트라 박스, 영사실의 사용 전압은 몇 V 미만이어야 하는가?	400V (미만)	무대, 오케스트라 박스, 영사실의 사용 전압은 400V 미만이어야 한다.
1:39:07	310	전기설비	단선 직선 접속 방법 중 트위스트 직선 접속의 최대 단면적은?	6mm2 (이하)	트위스트 직선 접속은 가는 전선(6mm2 이하)에 사용하며, 굵은 전선(10mm2 이상)은 브리타니아 접속을 사용한다.
1:39:21	311	전기설비	가로등, 경기장, 공장, 아파트 단지 일반 조명을 위하여 시설하는 고압 방전등의 효율은 몇 lm/W 이상의 것이어야 하는가?	70 (lm/W) (이상)	고압 방전등의 효율은 70 lm/W 이상으로 규정하고 있다.
1:39:37	312	전기설비	금속관 내에 같은 굵기의 전선을 넣을 때 전선의 피복을 포함한 총 단면적은 금속관 내부 단면적의 몇 % 이하이어야 하는가?	48% (이하)	금속관 내에 같은 굵기의 전선을 넣을 때 점유율은 48% 이하이다. (다른 굵기일 때는 32% 이하)
1:40:00	313	전기설비	전주의 길이 16m인 경우 땅에 묻히는 최소 깊이는? (설계 하중 6.8kN 이하 조건은 일반적으로 포함)	2.5m (이상)	전주 길이가 15m를 초과(16m)하는 경우 매설 깊이는 2.5m 이상으로 한다. (15m 이하는 1/6 이상)
1:40:27	314	전기설비	OW 전선을 사용하는 저압 옥내 가공 인입선으로 전선 길이가 15m를 초과하는 경우 전선의 지름은?	2.6mm (이상)	저압 옥내 가공 인입선 사용 시 전선 길이가 15m를 초과하면 전선 지름은 2.6mm 이상을 사용해야 한다. (15m 이하는 2.0mm 이상)
1:40:54	315	전기설비	16mm 합성 수지 전선관을 직각 구부리게 할 때 구부린 부분의 길이는? (안지름 18mm, 바깥지름 22mm 조건)	187mm	합성 수지 전선관의 직각 구부림 길이를 구하는 문제로, 특정 규격(16mm)의 경우 187mm가 정답이다. (공식: πR/2, R≈119mm 를 사용)
1:42:06	316	전기설비	아래 심벌이 나타내는 것은? (봉투 모양 심벌)	진상용 콘덴서	심벌은 진상용 콘덴서를 나타내며, 역률 개선에 사용된다.
1:42:24	317	전기설비	옥내 저압 전로와 대지 사이의 절연 저항 측정에 사용되는 측정기는?	절연 저항계 (매거)	절연 저항 측정은 **절연 저항계 (메가)**를 사용한다.
1:42:37	318	전기설비	단상 3선식 옥외 배선에서 중성선과 양쪽의 외선간에 각각 20A, 30A의 전등 부하가 걸렸을 때, 중성선 X점에서 단자가 빠졌을 때 발생하는 현상은?	경부하측 (20A 쪽)의 단자 전압 상승	단상 3선식에서 중성선이 단선되면, **부하가 적은 쪽 (경부하측)**의 전압이 상승하는 위험이 발생한다.
1:43:05	319	전기설비	경질 비닐 전선관의 설명으로 틀린 것은? (굵기는 관 안지름의 크기에 가까운 짝수로 나타냄, 금속관에 비해 절연성과 내식성이 우수함)	한 번의 길이는 3.6m이다 (← 틀린 설명)	경질 비닐 전선관의 표준 길이는 4m이다.
1:43:24	320	전기설비	애자 사용 공사에서 전선의 지지점간 거리는 조영재의 윗면 또는 옆면을 따라 붙이는 경우 몇 m 이하인가?	2m (이하)	애자 사용 공사 시 조영재의 윗면 또는 옆면을 따라 붙일 때 지지점간 거리는 2m 이하이다.
1:43:37	321	전기설비	배전 선로 기기 설치 공사에서 전주에 올라가는 승주식 발판 볼트는 지상 몇 미터 지점에서 180도 방향에 몇 cm씩 양쪽으로 설치하는가?	1.8m, 45cm	승주식 발판 볼트의 최초 설치 높이는 지상 1.8m이고, 그 위로는 180도 방향으로 45cm 간격으로 설치한다.
1:43:56	322	전기설비	캡타이어 케이블을 조영제에 시설할 때 지지점 간 거리는 몇 m 이하인가?	1m (이하)	캡타이어 케이블을 조영제에 시설할 때 지지점간 거리는 1m 이하이다. (캡조원으로 암기)
1:44:06	323	전기설비	가요 전선관 상호 접속에 이용하는 것은?	스플릿 커플링	가요 전선관 상호 접속에는 스플릿 커플링을 사용한다.
1:44:23	324	전기설비	버스 덕트 공사에서 덕트를 조영제에 붙이는 경우 덕트의 지지점간 거리는?	3m (이하)	버스 덕트 공사 시 조영제에 붙일 때 지지점간 거리는 3m 이하이다. (버덕 조지 3으로 암기)
1:44:39	325	전기설비	엘리베이터 장치를 시설할 때 승강기 내에 사용하는 전등 및 전기 기계 기구에 사용할 수 있는 최대 전압은?	400V (이하)	엘리베이터 승강기 내의 전등 및 전기 기계 기구 사용 최대 전압은 400V 이하이다.
1:44:47	326	전기설비	연접 인입선 시설 제한 규정에 대한 설명으로 잘못된 것은?	분기하는 점에서 고압의 경우에는 200m를 넘지 않아야 된다. (← 틀린 설명)	연접 인입선은 저압에서만 사용하며, 분기하는 점에서 100m를 넘지 않아야 한다.
1:45:04	327	전기설비	배전반 및 분전반을 넣은 강판제로 만든 함의 최소 두께는?	1.2mm (이상)	배전반 및 분전반의 강판제 함의 최소 두께는 1.2mm 이상이다.
1:45:14	328	전기설비	각 수용가의 최대 수용 전력이 각각 5kW, 10kW, 15kW, 22kW이고, 합성 최대 수용 전력이 50kW이다. 수용가 상호간의 부등률은?	1.04	부등률 공식: 합성 최대 수용 전력각 수용가 최대 수용 전력의 합​ 이다. (505+10+15+22​=5052​=1.04)
1:45:40	329	전기설비	폭연성 분진이 존재하는 곳에 금속관 공사를 할 때 몇 턱 이상의 나사 조임으로 시설해야 하는가?	5턱 (이상)	폭연성 분진 장소에서는 금속관의 나사 조임을 5턱 이상으로 하여 견고하게 시설해야 한다.
1:45:53	330	전기설비	지중 또는 수중에 시설하는 양극과 피방식체 간의 전기 부식 방지 시설에 대한 설명으로 틀린 것은?	사용 전압은 직류 60V를 초과하여야 한다. (← 틀린 설명)	전기 부식 방지 시설의 사용 전압은 직류 60V 이하로 규정한다. (부식 방지 60V 이하로 암기)
1:46:21	331	전기설비	전주의 길이가 15m일 때 땅에 묻히는 깊이는? (설계 하중 6.8kN 이하 조건)	1/6 (전주 길이의)	전주 길이가 15m 이하(15m), 설계하중 6.8kN 이하이므로 전주 길이의 1/6 이상을 매설한다.
1:46:36	332	전기설비	단면적 6mm2 이하의 가는 단선 동전선의 트위스트 조인트에 해당하는 전선 접속법은?	직선 접속	트위스트 조인트는 가는 전선(6mm2 이하)의 직선 접속에 사용되는 방법이다.
1:46:48	333	전기설비	수변전 설비에서 차단기의 종류 중 가스 차단기에 들어가는 가스의 종류는?	SF6​ (육불화황)	가스 차단기(GCB)에는 절연 및 소호 능력이 우수한 육불화황 (SF6​) 가스가 사용된다.
1:47:09	334	전기설비	정션 박스 내에서 절연 전선을 쥐꼬리 접속한 후 접속과 절연을 위해 사용되는 재료는?	와이어 커넥터	쥐꼬리 접속 후 접속부의 절연 및 보호를 위해 와이어 커넥터를 씌운다.
1:47:29	335	전기설비	지중에 매설되어 있는 금속제 수도 관로는 접지 공사의 접지극으로 사용할 수 있는데, 이때 수도 관로는 대지와 전기 저항치가 몇 Ω 이하여야 하는가?	3$\Omega$ (이하)	수도 관로를 접지극으로 사용할 경우, 대지와의 전기 저항치는 3$\Omega$ 이하여야 한다.
1:47:41	336	전기설비	케이블 공사에 의한 저압 옥내 배선에서 케이블을 조영재의 아랫면 또는 옆면을 따라 붙이는 경우 지지점 간 거리는 몇 m 이하인가?	2m (이하)	케이블 공사 시 조영재에 시설할 때 지지점간 거리는 2m 이하이다. (K 조지 2로 암기)
1:48:07	337	전기설비	분전반 및 배전반은 어떤 장소에 설치하는 것이 바람직한가?	쉽게 조작할 수 있는 장소	분전반/배전반은 노출되어 있고, 쉽게 조작 및 개폐할 수 있는 장소에 설치한다.
1:48:22	338	전기설비	합성 수지 몰드 공사의 사용 전압은 몇 V 미만인가?	400V (미만)	합성 수지 몰드 공사의 사용 전압은 400V 미만이다.
1:48:25	339	전기설비	천장에 작은 구멍을 뚫어서 그 속에 등기구를 매입시키는 조명 방식은?	다운라이트 방식	천장에 등기구를 매입시켜 깔끔한 인테리어를 연출하는 조명 방식은 다운라이트 방식이다.
1:48:36	340	전기설비	동전선의 접속 방법에서 종단 접속 방법이 아닌 것은? (종단 겹침용 슬리브 압착 접속, 비틀어 꽂는 종단 접속)	직선 맞대기용 슬리브 BR에 의한 압착 접속 (← 직선 접속)	직선 맞대기용은 직선 접속에 해당하며, 종단 접속은 전선의 끝을 겹치거나 비틀어 꽂는 방식이다.
1:49:00	341	전기설비	가연성 가스가 존재하는 저압 옥내 전기 설비 공사에 적합한 공사 방법은?	금속관 배선, 케이블 배선	가연성 가스나 폭발 우려가 있는 곳에는 금속관 공사나 케이블 공사가 적합하다. (가연성 가스 금캐로 암기)
1:49:12	342	전기설비	라이팅 덕트 공사에서 덕트 지지점간 거리는 몇 m 이하로 해야 하는가?	2m (이하)	라이팅 덕트 공사 시 지지점간 거리는 2m 이하이다. (라덕지 2로 암기)
1:49:17	343	전기설비	소맥분, 전분 기타 가연성 분진이 존재하는 곳의 옥내 배선 설비 공사 방법으로 적합하지 않은 것은?	애자 사용 공사	가연성 분진 장소에는 합금캐 (합성 수지관, 금속관, 케이블) 공사가 가능하며, 애자 사용 공사는 부적합하다.
1:49:38	344	전기설비	가요 전선관 공사에서 다음 전선을 사용하였다. 알맞게 사용한 것은? (가요 전선관 굵기 규격: 10, 12, 15, 17, 24, 30, 38, 50, 63, 76, 83, 101)	10mm2의 연선 (← 규격에 포함)	가요 전선관의 규격에 맞는 굵기의 전선을 사용해야 한다. **10mm**는 규격에 포함된다.
1:50:04	345	전기설비	철근 콘크리트 건물의 노출 금속관 공사를 할 때 직각으로 굽히는 곳에 사용하는 것은?	유니버셜 엘보	노출 금속관 공사에서 직각 굴곡은 유니버셜 엘보를 사용한다.
1:50:27	346	전기설비	전주의 길이가 16m이고 설계 하중이 6.8kN 이하인 경우 땅에 묻히는 깊이는?	2.5m (이상)	전주 길이가 15m를 초과(16m)하는 경우 매설 깊이는 2.5m 이상이다.
1:50:47	347	전기설비	하나의 수용 장소의 인입선 분기점에서 분기하여 지지물을 거치지 아니하고 다른 수용 장소의 인입선 접속점에 이르는 전선은?	연접 인입선	한 수용가의 인입선에서 분기하여 다른 수용가의 인입선에 연결되는 전선은 연접 인입선이다.
1:51:03	348	전기설비	다음 중 3로 스위치를 나타내는 그림 기호는?	검은 점 위에 3이 써 있는 스위치 심벌	3로 스위치의 심벌은 스위치에 숫자 3이 표시되어 있다.
1:51:09	349	전기설비	최대 사용 전압이 70kV인 중성점 직접 접지식 전로의 절연 내력 시험 전압은?	50,400V (50.4kV)	중성점 직접 접지식에서 170kV 이하(70kV)인 경우, 최대 사용 전압에 0.72배를 곱하고, 500V를 더한 값이다. (70×103×0.72+500≈50,400V) (단순 암기: 70kV → 50,400V)
1:51:46	350	전기설비	자동 화재 탐지 설비의 구성 요소가 아닌 것은? (수신기, 발신기, 중계기)	비상 경보기	자동 화재 탐지 설비의 주요 구성 요소는 **수신기, 발신기, 중계기 (수발중)**이며, 비상 경보기는 별개의 설비이다.
1:52:05	351	전기설비	전력용 콘덴서를 회로로부터 개방하였을 때 전화가 잔류함으로써 일어나는 위험 방지와 재투입할 때 콘덴서에 걸리는 과전압 방지를 위해서 설치하는 것은?	방전 코일	콘덴서에 잔류하는 전하(전압)를 방전시켜 감전 위험 방지 및 과전압 방지를 위해 방전 코일을 설치한다.
1:52:30	352	전기설비	지중 배전 선로에서 케이블을 개폐기와 연결하는 몸체는?	엘보 커넥터	케이블과 개폐기를 연결하는 부속품은 엘보 커넥터이다.
1:52:41	353	전기설비	전동기 과부하 보호 장치에 해당하지 않는 것은? (전동기용 퓨즈, 열동 계전기, 전동기 보호용 배선용 차단기)	전동기 기동 장치	기동 장치는 전동기를 구동하는 장치이며, 과부하 보호는 퓨즈, 계전기, 차단기 등이 담당한다.
1:52:57	354	전기설비	저압 개폐기를 생략해도 무방한 개소는?	퓨즈를 교환할 때 충전부에 접촉될 우려가 없을 경우	안전상의 위험이 없을 때 (퓨즈 교환 시 충전부 접촉 우려가 없을 경우) 저압 개폐기를 생략할 수 있다.
1:53:29	355	전기설비	전주 길이가 15m일 때 땅에 묻히는 깊이는? (설계 하중 6.8kN 이하 조건)	전주 길이의 1/6 (이상)	전주 길이가 15m 이하(15m)이고 설계하중 6.8kN 이하이므로 전주 길이의 1/6 이상을 매설한다.
1:53:40	356	전기설비	전선과 기구 단자 접속 시 나사를 덜 죄었을 때 발생할 수 있는 위험과 거리가 먼 것은? (화재 위험, 누적 과열 발생)	저항 감소 (← 거리가 멈)	나사를 덜 죄면 접촉 저항이 증가하여 과열, 화재 위험이 발생한다. 저항은 감소하지 않는다.
1:53:54	357	전기설비	금속관 공사에 대한 설명으로 잘못된 것은?	관의 두께는 콘크리트 매입하는 경우 1mm 이상이어야 된다. (← 틀린 설명)	금속관을 콘크리트 매입 시 관의 두께는 1.2mm 이상이어야 한다.
1:54:14	358	전기설비	후강 전선관의 종류(규격)는 총 몇 종이 있는가?	10종	후강 전선관의 규격은 총 10종이다. (16, 22, 28, 36, 42, 54, 70, 82, 92, 104)
1:54:43	359	전기설비	옥내 배선의 은폐 또는 건조하고 전개된 곳의 노출 공사에 사용하는 애자는?	노출 노브 애자	옥내 배선의 노출 공사에 사용되는 애자는 노출 노브 애자이다.
1:54:57	360	전기설비	가공 전설로의 지지물을 지선으로 보강하여서는 안 되는 것은?	철탑	철탑은 자체 강도가 높아 지선으로 보강할 수 없다. (목주, 철근 콘크리트주 등은 가능)
1:55:44	361	전기설비	접착제를 사용하여 합성 수지관을 삽입해 접속할 경우 관의 깊이는 합성 수지관 외경의 최소 몇 배인가?	0.8배	합성 수지관 접속 시 접착제를 사용하면 외경의 0.8배 이상 삽입하고, 사용하지 않으면 1.2배 이상 삽입한다.
1:56:14	362	전기설비	설치 면적과 설치 비용이 많이 들지만 가장 이상적이고 효과적인 진상용 콘덴서 설치 방법은?	부하측에 분산해서 설치	역률 개선을 위한 가장 이상적이고 효과적인 콘덴서 설치 방법은 부하측에 분산하여 설치하는 것이다.
1:56:40	363	전기설비	옥내 배선에서 전선 접속에 관한 사항으로 옳지 않은 것은? (전선 강도를 20% 이상 감소시키지 않는다, 접속 슬리브 또는 전선 접속기를 사용한다, 접속 부분의 온도 상승값이 접속부 이외의 온도 상승값을 넘지 않도록 한다)	전기 저항을 증가시킨다 (← 틀린 설명)	전선 접속 시에는 전기 저항을 증가시키지 않아야 한다.
1:57:05	364	전기설비	다음 중 옥내에 시설하는 저압 전로와 대지 사이의 절연 저항 측정에 사용되는 측정기는?	절연 저항계 (매거)	절연 저항 측정은 **절연 저항계 (메가)**를 사용한다.
1:57:15	365	전기설비	화약고 등 위험 장소 배선 공사에 전로의 대지 전압은 몇 V 이하이어야 하는가?	300V (이하)	화약고 등 위험 장소의 대지 전압은 300V 이하로 제한한다.
1:57:27	366	전기설비	금속 전선관 공사에서 금속관과 접속함을 접속하는 경우 노크아웃 구멍이 금속관보다 클 때 지름을 줄이기 위해 사용하는 것은?	링 리듀서	노크아웃 구멍이 관보다 클 때 구멍의 지름을 줄여주는 (Reduce) 부속품은 링 리듀서이다.
1:57:34	367	전기설비	플로어 덕트 공사에서 금속제 박스는 강판이 몇 mm 이상 되는 것을 사용해야 하는가?	2mm (이상)	플로어 덕트 공사에서 금속제 박스의 강판 두께는 2mm 이상으로 규정한다.
1:57:51	368	전기설비	일반적으로 분기회로의 개폐기 및 과전류 차단기는 저압 옥내 간선과의 분기 시점에 전선의 길이가 몇 m 이하인 곳에 시설해야 하는가?	3m (이하)	분기회로의 개폐기 및 과전류 차단기는 분기 시점에서 전선 길이 3m 이하에 시설해야 한다.
1:58:08	369	전기설비	가공 전선의 지지물에 승탑 또는 승강용으로 사용하는 발판 볼트 등은 지표상 몇 m 미만에 설치해서는 안 되는가?	1.8m (미만)	발판 볼트는 지표상 1.8m 미만에는 설치할 수 없다.
1:58:24	370	전기설비	전선과 기구 단자 접속 시 누름 나사를 덜 죄었을 때 발생할 수 있는 현상과 거리가 먼 것은? (과열, 화재, 접속 불량으로 인한 전파 잡음 발생)	절전할 수 있다 (← 거리가 멈)	누름 나사를 덜 죄면 저항 증가로 손실과 위험이 증가하며, 절전과는 관계가 없다.
1:58:43	371	전기설비	나전선 상호를 접속하는 경우 일반적으로 전선의 세기를 몇 % 이상 감소시키지 아니하여야 하는가?	20% (이상)	전선의 접속 부분의 세기는 인장 강도를 20% 이상 감소시키지 않아야 한다.
1:58:53	372	전기설비	전동기에 공급하는 간선의 굵기는 그 간선에 접속하는 전동기 정격 전류의 합계가 50A를 초과하는 경우, 그 정격 전류 합계의 몇 배 허용 전류를 갖는 전선을 사용해야 하는가?	1.1배 (이상)	전동기 정격 전류 합계가 50A를 초과하면 1.1배 이상의 허용 전류를 갖는 전선을 사용해야 한다. (50A 이하는 1.25배)
1:59:25	373	전기설비	저압 연접 인입선의 시설과 관련된 설명으로 틀린 것은? (옥내를 통과하지 말아야 한다, 폭 5m를 넘는 도로를 횡단하지 아니할 것, 인입선에서 분기하는 점으로부터 100m를 넘는 지역에 미치지 아니할 것)	전선 굵기는 1.5mm2 이하의 것 (← 틀린 설명)	저압 연접 인입선의 전선은 지름 2.6mm 이상의 경동선을 사용해야 한다.
2:00:13	374	전기설비	금속관 공사에서 금속관을 콘크리트에 매설할 때 관 두께는 몇 mm 이상이어야 하는가?	1.2mm (이상)	금속관을 콘크리트에 매설할 경우 관의 두께는 1.2mm 이상이어야 한다. (기타 장소는 1.0mm 이상)
2:00:34	375	전기설비	절연 전선으로 가선된 배전 선로에서 활선 상태인 경우 전선의 피복을 벗기는 데 사용하는 공구는?	전선 피벗기 (활선 피벗기)	활선 상태에서 피복 벗긴다 → 전선 피벗기.
2:00:48	376	전기설비	전설로의 직선 부분을 지지하는 애자는?	핀 애자	직선 지지 → 핀 애자 (직지 핀).
2:00:58	377	전기설비	저압의 조명 시설에 전기를 공급하는 배선에 사용하는 절연 전선의 단면적은 몇 mm2 이상으로 해야 하는가? (키워드: 전등 또는 개폐기에 이르는 배선)	2.5mm2 이상	전등 또는 개폐기에 이르는 배선 → 2.5mm2 이상.
2:01:17	378	전기설비	사람이 접촉될 우려가 있는 곳에 가요 전선관을 세들 등으로 지지하는 경우 그 지지 간 거리는?	1m 이하	가요 전선관 세들 지지 간 거리 → 1m 이하.
2:01:30	379	전기설비	노가웃 펀치와 같은 용도로 배전반이나 분전반 등에 구멍 뚫을 때 사용하는 공구는?	홀소	노가웃 펀치, 홀소 모두 구멍 뚫는 공구.
2:01:38	380	전기설비	콘크리트 직매용 케이블 배선에서 케이블을 구부릴 때 그 굴곡부 안쪽 반지름을 케이블 외경의 몇 배 이상으로 하는가? (단, 단심이 아닌 경우)	여섯 배	콘크리트 직매용 케이블: 단심이 아닌 경우 6배, 단심인 경우 8배.
2:02:02	381	전기설비	조명용 백열 전등을 호텔 또는 여관의 객실 입구, 일반 주택 및 아파트 각 실의 현관에 설치할 때 사용되는 스위치는?	타임 스위치	객실 입구, 현관에 설치하여 일정 시간 후 꺼지게 하는 스위치 → 타임 스위치.
2:02:17	382	전기설비	소맥분, 전분 등 기타 가연성 분진이 존재하는 곳의 저압 옥내 배선 공사 중 적당하지 않은 것은?	금속제 가요 전선관 공사 (또는 애자사용 공사)	가연성 분진 존재하는 곳 → 합금캐 (합성수지관, 금속관, 케이블 공사)만 가능. (애자사용 공사 부적당)
2:02:35	383	전기설비	절연 전선을 동일 플로우덕트에 넣을 경우, 전선의 피복 절연물을 포함한 단면적 총합계는 플로우덕트 단면적의 몇 % 이하가 되도록 선정하는가?	32% 이하	플로우덕트 → 전선 단면적 합계 32% 이하.
2:02:53	384	전기설비	전압의 구분에서 고압에 대한 설명으로 가장 옳은 것은?	직류 1.5kV 초과, 7kV 이하. 교류 1kV 초과, 7kV 이하. (제시된 보기 2번의 내용에 따른 정답)	저압: 교류 1kV 이하, 직류 1.5kV 이하. 고압: 교류 1kV 초과 ∼ 7kV 이하, 직류 1.5kV 초과 ∼ 7kV 이하.
2:03:24	385	전기설비	오개용 비닐 절연 전선의 약호는?	OW	Outdoor Weather-proof (오개용 비닐 절연 전선).
2:03:32	386	전기설비	변압기의 보호 및 개폐를 위해 사용되는 특고압 컷아웃 스위치는 용량 몇 kVA 이하의 변압기에 사용되는가?	300kVA 이하	특고압 컷아웃 스위치 → 300kVA 이하. (고압은 150 kVA 이하)
2:03:55	387	전기설비	부식성 가스 등이 있는 장소에 시설할 수 없는 배선 공사는?	제1종 금속제 가요 전선관 배선	금속제는 부식성 가스에 취약하여 사용 금지.
2:04:08	388	전기설비	화약류 저장소 안의 전등 및 이에 전기를 공급하기 위한 공작물의 전로의 대지 전압은 몇 볼트 이하의 것을 사용하는가?	300V 이하	화약류 저장소 (화약고) → 300V 이하.
2:04:26	389	전기설비	진열장 안 400V 미만 저압 옥내 배선 시, 외부에서 보기 쉬운 곳에 사용하는 전선은 단면적이 몇 mm2 이상의 코드 또는 캡타이어 케이블이어야 하는가?	0.75mm2 이상	진열장 안 400V 미만 코드/캡타이어 케이블 → 0.75mm2 이상. (치로)
2:04:46	390	전기설비	금속관에 나사를 낼 때 사용하는 공구는?	오스터	금속관 나사 내기 → 오스터.
2:04:52	391	전기설비	배관의 직각 굴곡 부분에 사용되는 부속품은?	노멀 밴드 (또는 유니버설 엘보)	직각 굴곡 → 밴드 (노멀 밴드: 매입 배관, 유니버설 엘보: 노출 배관).
2:05:07	392	전기설비	절연 전선의 피복에 154kV NRV라고 표기되어 있다. 여기서 NRV는 무엇을 나타내는가?	고무절연 비닐시스 네온 전선	Neon (네온전선), Rubber (고무절연), Vinyl Sheath (비닐시스).
2:05:25	393	전기설비	한 수용 장소의 인입선에서 분기하여 지지물을 거치지 아니하고 다른 수용 장소의 인입구에 이르는 부분의 전선을 무엇이라고 하는가?	연접 인입선	한 집에서 다른 집으로 연결 → 연접 인입선.
2:05:36	394	전기설비	다음 중 금속 전선관을 박스에 고정시킬 때 사용하는 부속품은?	로크너트 (락너트)	금속 전선관 박스 고정 → 로크너트 (락너트).
2:05:47	395	전기설비	지지물의 지선에 연선을 사용하는 경우 소선은 몇 가닥 이상의 연선을 사용하는가?	세 가닥 이상	지선 연선 소선 → 세 가닥 이상.
2:05:53	396	전기설비	조명 기구의 배광에 의한 분류 중 40%에서 60% 정도의 빛이 위쪽과 아래쪽으로 고루 향하고 가장 일반적인 용도를 가지며 부드러운 조명이 되는 조명 방식은?	전반 확산 조명 방식	40~60% 고루 확산 → 전반 확산 조명 방식.
2:06:15	397	전기설비	인류 또는 내장주의 선로에서 활선 공법을 할 때 작업자가 현수 애자 등에 접촉되어 생기는 안전 사고를 예방하기 위해 사용하는 것은?	데드앤드 커버	현수 애자 등에 접촉 안전 사고 예방 → 데드앤드 커버.
2:06:38	398	전기설비	전선의 슬리브 접속에 있어서 펜치와 같이 사용되고 금속관 공사에서 로크너트(락너트)를 조일 때 사용하는 공구는?	펌프 플라이어	펜치와 유사, 락너트 조임 → 펌프 플라이어.
2:06:51	399	전기설비	고압 가공 전선로의 전선 조사가 3조일 때 왕금의 길이는?	1800mm (1.8m)	왕금의 길이 (3조 기준): 저압 1400mm, 고압 1800mm, 특고압 2400mm.
2:07:32	400	전기설비	합성 수지관 공사에 대한 설명 중 옳지 않은 것은?	관 지지점 간 거리는 3m 이상이다.	합성 수지관 공사 지지점 간 거리 → 1.5m 이하이다. (1.5m 이상이 아님)
2:08:06	401	전기설비	600V 이하 저압 회로에 사용하는 비닐 절연 비닐 시스 케이블의 약칭은?	VV (케이블)	Vinyl Insulation, Vinyl Sheath → VV.
2:08:14	402	전기설비	구리 전선과 기계기구 단자를 접속하는 경우 진동 등으로 헐거워질 염려가 있을 때 사용하는 것은?	스프링 와셔	진동, 헐거워짐 방지 → 스프링 와셔.
2:08:23	403	전기설비	접지 저항 측정에 사용되는 측정기 명칭은?	어스 테스터	접지 저항 (Earth Resistance) → 어스 테스터. (절연 저항은 메거)
2:08:31	404	전기설비	폭발성 분진이 있는 곳에 금속관 공사 시, 나사 조임은 몇 턱 이상으로 해야 하는가?	5턱 이상	폭발성 분진 → 나사 조임 5턱 이상.
2:08:35	405	전기설비	셀룰로이드, 성냥, 석유류 등 기타 가연성 위험 물질 제조 또는 저장하는 장소 배선으로 잘못된 것은?	플로우 덕트 배선 (또는 애자사용 공사)	가연성 위험물 장소 → 합금캐 (합성수지관, 금속관, 케이블 공사)만 가능. (플로우 덕트 부적합)
2:08:47	406	전기설비	저압 가공 인입선의 인입구에 사용하는 부품으로 빗물 침입을 막는 것은?	엔트런스 캡	인입선 인입구 빗물 침입 방지 → 엔트런스 캡.
2:08:53	407	전기설비	수변전 설비에서 차단기의 종류 중 가스 차단기에 들어가는 가스는?	6불화황 (SF6​)	가스 차단기 → 6불화황 (SF6​).
2:09:07	408	전기설비	제2종 금속 가요 전선관 굵기 관의 호칭이 아닌 것은?	16mm	2종 금속 가요 전선관 호칭: 10, 12, 15, 17, 24, 30, 38, 50, 63, 76, 83, 101mm. (16mm는 후강관 규격에 있음).
2:09:29	409	전기설비	6$\text{mm}^2$ 이하의 가는 단선 직선 접속 방식은?	트위스트 접속	6$\text{mm}^2$ 이하 가는 단선 직선 접속 → 트위스트 접속. (10$\text{mm}^2$ 이상은 브리타니아 접속)
2:09:40	410	전기설비	금속 전선관 공사에 필요한 공구가 아닌 것은? (보기: 파이프 바이스, 리머, 오스터, 스트리퍼)	스트리퍼	스트리퍼는 전선의 피복을 벗기는 공구. (전선관 아님)
2:10:05	411	전기설비	습기가 많은 장소 또는 물기가 있는 장소 바닥 위에서 사람이 접촉될 우려가 있다. 사용 전압 400V 미만인 정구선 및 이동 전선은 단면적이 최소 몇 mm2 이상인 것을 사용해야 하는가?	0.75mm2 이상	습기, 접촉 우려, 400V 미만 이동 전선 → 0.75mm2 이상. (치로)
2:10:22	412	전기설비	다음 중 변류기의 약호는?	CT	Current Transformer → CT.
2:10:29	413	전기설비	배선용 차단기의 심벌은?	네모 안에 B	배선용 차단기 (MCCB) 심벌 → 네모 B.
2:10:41	414	전기설비	금속 덕트 공사 방법과 가장 거리가 먼 것은?	덕트의 말단은 열어 놓을 것	금속 덕트의 말단은 폐쇄시켜야 한다.
2:11:09	415	전기설비	합성 수지 몰드 배선의 사용 전압은 몇 V 미만이어야 하는가?	400V 미만	합성 수지 몰드 배선 → 400V 미만.
2:11:24	416	전기설비	과전류 차단기를 설치해야 하는 곳은?	간선의 전원측 전선	접지 공사 접지선, 다선식 전로의 중성선, 접지 공사를 한 접지 전선 (접다접)에는 설치하지 않는다. → 간선의 전원측 전선에는 설치.
2:11:43	417	전기설비	한 분전반에서 사용 전압이 각각 다른 분기 회로가 있을 때, 이 분기 회로를 쉽게 식별하기 위한 방법으로 가장 적합한 것은?	차단기나 차단기 가까운 곳에 각각 전압을 표시하는 명판을 붙인다.	사용 전압이 다른 분기 회로 식별 → 전압 명판 부착.
